Timestep,Observation,Safe_Belief,Danger_Belief,Action
0,SAFE,0.9525741268224333,0.04742587317756676,-1
1,SAFE,0.9525741268224333,0.04742587317756676,-1
2,SAFE,0.9525741268224333,0.04742587317756676,-1
3,SAFE,0.9525741268224333,0.04742587317756676,-1
4,SAFE,0.9525741268224333,0.04742587317756676,-1
5,DANGER,0.04742587317756676,0.9525741268224333,-1
6,DANGER,0.04742587317756676,0.9525741268224333,-1
7,DANGER,0.04742587317756676,0.9525741268224333,-1
8,DANGER,0.04742587317756676,0.9525741268224333,-1
9,DANGER,0.04742587317756676,0.9525741268224333,-1
10,SAFE,0.9525741268224333,0.04742587317756676,-1
11,SAFE,0.9525741268224333,0.04742587317756676,-1
12,SAFE,0.9525741268224333,0.04742587317756676,-1
13,SAFE,0.9525741268224333,0.04742587317756676,-1
14,SAFE,0.9525741268224333,0.04742587317756676,-1
15,DANGER,0.04742587317756676,0.9525741268224333,-1
16,DANGER,0.04742587317756676,0.9525741268224333,-1
17,DANGER,0.04742587317756676,0.9525741268224333,-1
18,DANGER,0.04742587317756676,0.9525741268224333,-1
19,DANGER,0.04742587317756676,0.9525741268224333,-1